gbm	categ
PTEN	2
TP53	2
EGFR	2
TTN	2
MUC16	2
NF1	2
ARHGAP5	2
PCDHGC5	2
SLIT1	2
PIK3R1	2
FLG	2
LAMB3	2
PCDHAC2	2
MARK2	2
WDR92	2
RYR2	2
PIK3CA	2
OBSCN	2
AHNAK2	2
PLEC	2
RB1	2
FCGBP	2
SPTA1	2
TNC	2
CACNA1D	2
PCLO	2
EPHB2	2
PRRC2B	2
HMCN1	2
CPN2	2
DOCK8	2
HSPG2	2
SCN9A	2
TTN-AS1	2
UGGT1	2
CCDC151	2
ALK	2
EIF3K	2
ITSN2	2
GAS2L2	2
PLXNA2	2
ATP9B	2
BID	2
MEGF9	2
FLG-AS1	2
MUC17	2
NEB	2
SEMA6C	2
NBPF10	2
DNAH5	2
MRPL21	2
PTCD2	2
SSTR4	2
ATRX	2
LRP2	2
PLA2G2A	2
MMEL1	2
BSN	2
FOXRED1	2
DOCK5	2
MUC5B	2
ZBTB3	2
SPTBN5	2
WDR81	2
FMN1	2
HRNR	2
RYR3	2
PHLPP2	2
NOTCH1	2
CDHR5	2
FAM90A1	2
OR10H3	2
PKHD1	2
TCHH	2
ADAMTS14	2
TBC1D4	2
BUD31	2
RAB6C	2
PPFIBP2	2
KDM6B	2
LANCL2	2
RELN	2
FRG1B	2
EPHA10	2
COL6A3	2
TMEM104	2
USH2A	2
SLC24A1	2
TTBK2	2
IWS1	2
CACNA1E	2
DNAH2	2
COL7A1	2
FAT2	2
ZNF711	2
CHD5	2
SYNE1	2
FRAS1	2
JARID2	2
CACNA1S	2
SRP19	2
ANKRD52	2
DSP	2
COX10	2
DYSF	2
LAD1	2
RICTOR	2
PRR21	2
ROR2	2
ZBTB12	2
GEMIN2	2
ATP10D	2
ANKRD55	2
LYST	2
DMD	2
PKHD1L1	1
DDX24	1
CDC16	1
APOB	1
GPR98	1
COL22A1	1
CNTNAP2	1
FBN3	1
HSD17B7P2	1
LHX4	1
CCBE1	1
ATP6V1C1	1
ACSM4	1
NOTCH2	1
ZAN	1
CAPN6	1
HAVCR1	1
KRTAP4-11	1
VPS13D	1
ZNF831	1
LEFTY2	1
TOE1	1
OGFOD1	1
KMT2C	1
DNAH8	1
RASGRP4	1
COL4A2	1
THBS2	1
SOGA2	1
MUC4	1
LCA5L	1
ABCA2	1
IDH1	1
ZNF814	1
GIMAP8	1
STAG2	1
STAB1	1
FAM180A	1
SNX19	1
HYDIN	1
DEPTOR	1
TNKS1BP1	1
MTMR3	1
DST	1
DNAH11	1
ITPRIP	1
PTPRN2	1
EPHA5	1
LZTR1	1
TOM1	1
CABIN1	1
RIMS2	1
ZP4	1
NOS3	1
CAMTA1	1
FOXN1	1
BZRAP1	1
SACS	1
SLC45A2	1
MUC2	1
OSR2	1
DNAH3	1
KEL	1
TUBGCP3	1
CACNB3	1
COL27A1	1
HOXA7	1
PLXNC1	1
PRSS3	1
ANK2	1
OGDHL	1
PRKDC	1
MLL3	1
CNTN4	1
MACF1	1
LRP1B	1
EIF4G3	1
LAMA1	1
GPR107	1
SLIT3	1
HERC2	1
T	1
SDK1	1
PDGFRA	1
SYNGAP1	1
LEFTY1	1
CLCNKA	1
PPP1R12C	1
TNPO2	1
TRIM39	1
KIAA1407	1
MICAL2	1
PGM2	1
VWCE	1
RUNDC3B	1
PCDH8	1
NISCH	1
COL4A6	1
MYO9B	1
LRP1	1
NUP93	1
KAT8	1
PIK3CG	1
ADAMTS20	1
CNGA2	1
GPR112	1
BACH2	1
NCOR1	1
LZTS2	1
LRRIQ1	1
FKBP9	1
C3orf30	1
BRD8	1
EPPK1	1
EP400	1
WASH3P	1
NLRP5	1
MTUS1	1
MYH2	1
SPEN	1
EIF3A	1
COL1A2	1
ABCC6	1
ERLIN1	1
LAMA2	1
ANO2	1
SP4	1
TAF1L	1
ANAPC4	1
MYOCD	1
ADAMTS7	1
FRMD8	1
GRHPR	1
HECTD4	1
PCYOX1	1
NBPF1	1
RBP3	1
LAMA5	1
GPC1	1
DIS3L2	1
DGKE	1
KRTAP5-5	1
DNAH9	1
ACACB	1
MUC6	1
IRS4	1
IPO9	1
GPR133	1
C3	1
CRLF1	1
OR2M2	1
KRTAP4-8	1
DDX11	1
MROH2B	1
IPO5	1
TUBA1C	1
ROBO2	1
SLC5A11	1
ABCC9	1
ANKRD36C	1
RGS9	1
HEATR7B2	1
HCN1	1
CCR9	1
DNAH17	1
PRSS45	1
CLIP2	1
CHD9	1
MYLK3	1
WRAP53	1
CDH18	1
MARS	1
MXRA5	1
ZNF646	1
WBSCR17	1
CHD8	1
FLG2	1
THSD7B	1
ANK3	1
HOOK2	1
SVIL	1
GPR137	1
CXorf22	1
SH3KBP1	1
RPSAP58	1
SPAG17	1
SEMG2	1
CACNA1B	1
PRDM9	1
GPR126	1
UBR4	1
SLC27A2	1
EPHA1	1
SLC6A6	1
TTBK1	1
PTPN14	1
KCNS2	1
TRAPPC9	1
PCOLCE	1
ERBB2	1
OR10H4	1
SEMA3C	1
ZNF106	1
CDC27	1
SLC5A12	1
MYO15A	1
POTEC	1
TMEM45B	1
CYP4F12	1
ZNF511	1
KIF2B	1
TEKT4	1
GABRA6	1
FBN2	1
VWF	1
RPL13AP20	1
RAVER1	1
GON4L	1
LAMB4	1
MLL2	1
LRP4	1
RBM47	1
SCN5A	1
F5	1
BCL9	1
PTCH1	1
PDE3A	1
MGAM	1
MYH8	1
abParts	1
FRMD7	1
COL1A1	1
FASN	1
PKD2L1	1
